id,question,category
1,"¿Qué objeto conseguirías volar con tu mente si tuvieras superpoderes?",Superpoderes ridículos
2,"¿Cuál sería tu poder más inútil para salvar el mundo?",Superpoderes ridículos
3,"¿A qué supervillano le tendrías miedo enfrentar?",Superpoderes ridículos
4,"¿Qué es lo primero que harías con superpoderes?",Superpoderes ridículos
5,"¿Si pudieras hacer levitar una sola cosa para siempre cuál sería?",Superpoderes ridículos
6,"¿Qué parte de tu cuerpo mejorarías con poderes?",Superpoderes ridículos
7,"¿Para qué usarías un poder de teleportación?",Superpoderes ridículos
8,"¿Qué profesión sería más fácil con superpoderes?",Superpoderes ridículos
9,"¿A dónde desaparecerías si tuvieras un poder de teletransporte mágico?",Superpoderes ridículos
10,"¿Cuál sería el lado negativo de tu superpoder favorito?",Superpoderes ridículos
11,"¿Qué cosa imposible intentarías si fueras invulnerable?",Superpoderes ridículos
12,"¿Con qué arte culinario impresionarías si tuvieras poderes mágicos?",Superpoderes ridículos
13,"¿Cuál sería tu peor secreto si todos descubrieran tu identidad como superhéroe?",Superpoderes ridículos
14,"¿Qué aspecto negativo oculta tu superpoder más poderoso?",Superpoderes ridículos
15,"¿Qué peligro correrías si nada pudiera lastimarte?",Superpoderes ridículos
16,"¿A qué evento mundial asistirías si pudieras viajar con un poder?",Superpoderes ridículos
17,"¿Qué habilidad especial te gustaría tener para cocinar?",Superpoderes ridículos
18,"¿Qué admitirías en confesión si fueras un superhéroe anónimo?",Superpoderes ridículos
19,"¿Qué cosa desaparecería para siempre con tu poder?",Superpoderes ridículos
20,"¿Cuál sería el poder más ridículo que usarías para ganar dinero?",Superpoderes ridículos
21,"¿Qué regalo le darías a un emperador antiguo en un amigo secreto?",Viajes en el tiempo
22,"¿Qué comida moderna enviarías a los dinosaurios para confundirlos?",Viajes en el tiempo
23,"¿Si pudieras cambiar un pequeño evento de la historia para que todo fuera caótico cuál sería?",Viajes en el tiempo
24,"¿Qué canción moderna cantarías en la corte de Luis XIV?",Viajes en el tiempo
25,"¿En qué era histórica contratarías a un DJ para hacer una fiesta?",Viajes en el tiempo
26,"¿A qué era histórica irías solo para ver cómo reaccionan ante un meme?",Viajes en el tiempo
27,"¿Qué ropa ridícula de hoy llevarías al antiguo Egipto?",Viajes en el tiempo
28,"¿Tienes que mostrarle un sticker de Whatsapp a Jesus y los discipulos, cual elegirías?",Viajes en el tiempo
29,"¿Debes hacer que un inca deguste gastronomia ecuatoriana, que le haces probar?",Viajes en el tiempo
30,"¿En qué momento histórico sería más incómodo pedirle prestado dinero a alguien?",Viajes en el tiempo
31,"¿Qué tecnología usarías para convencer a los antiguos de que eres un dios?",Viajes en el tiempo
32,"¿A qué momento irías para arruinar algún experimento científico histórico por broma?",Viajes en el tiempo
33,"¿Qué cosa ridicula del futuro le mostrarías primero a un vikingo?",Viajes en el tiempo
34,"¿En qué época te creerían si dijeras que eres un viajero temporal?",Viajes en el tiempo
35,"¿A qué batalla histórica irías solo para filmarlo con tu celular?",Viajes en el tiempo
36,"¿En qué epoca histórica te gustaría ser un ""influencer""?",Viajes en el tiempo
37,"¿En qué momento del pasado introducirías la pizza como ""nuevo invento""?",Viajes en el tiempo
38,"¿Qué mentira contarías en la antigua Roma para ser famoso?",Viajes en el tiempo
39,"¿Cuántas veces viajarías al mismo momento solo para hacer bromas diferentes?",Viajes en el tiempo
40,"¿Qué baile ridiculo le enseñarías a la gente del futuro?",Viajes en el tiempo
41,"¿Cuál es la habilidad más ridícula en la que eres experto?",Habilidades inútiles
42,"¿Qué cosa lograste dominar que nadie pidió que aprendieras?",Habilidades inútiles
43,"¿En qué competencia absurda ganarías fácilmente?",Habilidades inútiles
44,"¿Qué talento tienes que es perfectamente inútil pero impresionante?",Habilidades inútiles
45,"¿Cuál sería tu marca mundial en algo ridículo?",Habilidades inútiles
46,"¿Qué cosa extraña dominarías si tuvieras 1000 horas libres?",Habilidades inútiles
47,"¿En qué idioma te gustaría ser fluido pero poco práctico?",Habilidades inútiles
48,"¿Qué habilidad ridícula serías capaz de enseñar a otros?",Habilidades inútiles
49,"¿Cuál sería tu superpoder si fuera completamente inútil?",Habilidades inútiles
50,"¿Qué destreza absurda practicarías todos los días si pudieras?",Habilidades inútiles
51,"¿Cuál es la habilidad que desarrollaste completamente por accidente?",Habilidades inútiles
52,"¿En qué deporte no profesional serías campeón mundial?",Habilidades inútiles
53,"¿Qué arte extraño practicarías durante un año si fuera gratis?",Habilidades inútiles
54,"¿Cuál sería tu acto de circo si fueras payaso profesional?",Habilidades inútiles
55,"¿Qué cosa lograste hacer que probablemente nadie en el mundo pueda?",Habilidades inútiles
56,"¿Qué truco de magia casero dominarías si tuvieras tiempo?",Habilidades inútiles
57,"¿Cuál sería tu récord Guinness más absurdo?",Habilidades inútiles
58,"¿Qué lengua muerta aprenderías solo por diversión?",Habilidades inútiles
59,"¿Qué destreza completamente innecesaria te enorgullece dominar?",Habilidades inútiles
60,"¿Cuál es la habilidad que dominas pero nadie sabe?",Habilidades inútiles
61,"¿Qué sección del supermercado visitarías primero si fuera gratis todo?",Supermercado
62,"¿Cuál es la compra más vergonzosa que hiciste de noche?",Supermercado
63,"¿Qué producto del supermercado desaparecería y sería caótico?",Supermercado
64,"¿Cuál es el snack más raro que comprarías sin culpa?",Supermercado
65,"¿Qué comida de supermercado sorprenderías a la gente que probaste?",Supermercado
66,"¿En qué pasillo pierdes más tiempo sin motivo?",Supermercado
67,"¿Qué sabor de papas fritas inventarías si pudiera existir?",Supermercado
68,"¿Cuál es la mezcla más extraña de productos que compraste en el mismo viaje?",Supermercado
69,"¿Qué bebida desaparecería y te moriría de sed?",Supermercado
70,"¿Cuál es la marca que siempre compras aunque sea más cara?",Supermercado
71,"¿Qué alimento del supermercado te trae recuerdos de infancia?",Supermercado
72,"¿Cuál sería tu selección de dulces si solo pudieras elegir 3 cosas?",Supermercado
73,"¿Qué artículo del supermercado te avergüenza comprar en público?",Supermercado
74,"¿Cuál es el producto que siempre está agotado cuando lo necesitas?",Supermercado
75,"¿Qué diferencia habría en tu vida si las papas fritas costaran 10 veces más?",Supermercado
76,"¿Qué pasillo del supermercado recorres primero cuando llegas?",Supermercado
77,"¿Qué fila de caja prefieres y por qué?",Supermercado
78,"¿Cuál es la comida rápida que compras en el supermercado?",Supermercado
79,"¿Qué sección oculta del supermercado frecuentas?",Supermercado
80,"¿Cuál sería tu menú si solo pudieras comer productos del supermercado?",Supermercado
81,"¿Qué animal elegirías ser durante una semana?",Animales
82,"¿De cuál animal huirías corriendo sin pensarlo dos veces?",Animales
83,"¿Qué habilidad de un animal te gustaría tener?",Animales
84,"¿Con qué animal harías un viaje por carretera?",Animales
85,"¿Cuál es el animal que más te asustaría cruzarte en la selva?",Animales
86,"¿Qué animal dominarías para una batalla épica?",Animales
87,"¿Cuál sería tu mascota si fuera legal cualquier animal?",Animales
88,"¿Qué animal crees que sería el mejor profesor?",Animales
89,"¿Cuál es el animal más infravaluado que existe?",Animales
90,"¿Qué criatura elegirías para cambiar tu forma por un mes?",Animales
91,"¿Qué habilidad animal adoptarías como superpoder?",Animales
92,"¿Cuál es el animal que la gente subestima más?",Animales
93,"¿Qué animal te gustaría que pudiera hablar?",Animales
94,"¿Con qué animal te gustaría trabajar profesionalmente?",Animales
95,"¿Cuál es la característica animal que más envidas?",Animales
96,"¿Qué animal crees que sería el mejor cocinero?",Animales
97,"¿Cuál sería tu equipo de animales para ganar un reality show?",Animales
98,"¿Qué animal te enseñaría la mejor lección de vida?",Animales
99,"¿En qué especie te gustaría reencarnarte si volvieras a nacer?",Animales
100,"¿Cuál es el animal que más admirabas cuando eras niño?",Animales
101,"¿Si solo tienes un flotador de pato para sobrevivir en el mar qué harías?",Supervivencia
102,"¿Cuál sería tu estrategia si tienes que sobrevivir comiendo solo marshmallows?",Supervivencia
103,"¿Qué haría un influencer si queda atrapado en una isla sin cobertura?",Supervivencia
104,"¿Qué objeto random de tu casa usarías como brújula en el bosque?",Supervivencia
105,"¿Qué cosa del baño llevarías para sobrevivir en el desierto?",Supervivencia
106,"¿Cuál sería tu mayor problema si quedas atrapado en una montaña de helado?",Supervivencia
107,"¿Qué animal traerías a una isla para que sea tu DJ en las noches?",Supervivencia
108,"¿Con qué cosa de tu habitación construirías un refugio en el bosque?",Supervivencia
109,"¿Qué artículo de ropa usarías como señal de emergencia?",Supervivencia
110,"¿Cuál sería tu forma más vergonzosa de encender fuego en la naturaleza?",Supervivencia
111,"¿A quién de tus amigos llamarías primero si te pierdes en la montaña?",Supervivencia
112,"¿Qué comida de tu casa llevarías si quedas atrapado en el bosque?",Supervivencia
113,"¿Cuál sería tu dulce favorito si solo pudieras comer eso para sobrevivir?",Supervivencia
114,"¿Cuál sería la canción que te enseñaría a sobrevivir mental y emocionalmente?",Supervivencia
115,"¿Qué película o serie te ayudaría mentalmente a sobrevivir una emergencia?",Supervivencia
116,"¿Qué cosa de tu cocina sería tu mejor defensa si te persigue un oso?",Supervivencia
117,"¿Con qué cosa que tengas en el bolsillo crearías una herramienta útil?",Supervivencia
118,"¿Cuál sería tu primer error si quedaras solo en la selva durante una semana?",Supervivencia
119,"¿Qué animal doméstico llevarías como tu mejor aliado en la supervivencia?",Supervivencia
120,"¿Qué harías primero en tu lista de prioridades si quedas perdido en una isla?",Supervivencia
